Location Identifier,Office Name,Office Address,Operating Hours,Desk Count,Parking Spaces,Security Available
58333,Michigan,"0504 Danielle Fields, East Jessicamouth, MI 22793",22,50,24,TRUE
59567,Arizona,"115 Robert Circle, East Shawn, AZ 14532",23,112,33,FALSE
15436,Idaho,"3012 Patrick Rapids, Port Michael, ID 28284",4,28,38,TRUE
81457,Pennsylvania,"1924 Jennifer Motorway, Joneschester, PA 79634",11,186,7,TRUE
62326,Headquarters,"806 Martin Harbor, Harttown, MI 84603",4,118,30,FALSE
12035,North Carolina,"744 Nathan Locks Apt. 153, New Kristi, NC 67704",14,141,26,FALSE
17080,Oregon,"81977 Julia Stravenue Apt. 866, Travisport, OR 76343",17,64,37,FALSE
11716,Arkansas,"13573 Rodriguez Summit Suite 828, Dustinville, AR 20490",10,121,46,TRUE
59834,Wisconsin,"4016 Carmen Inlet, Lake Jared, WI 10541",15,151,15,FALSE
41586,Ohio,"83500 Barbara Field, Bakerview, OH 43957",18,102,48,TRUE